Board Information Report
Filename     : C:\Users\eliow\OneDrive\Dokumente\GitHub\CHESS_OBC\CHESSOBC_rev1\CHESSOBC_rev1.PcbDoc
Date         : 26/05/2021
Time         : 19:57:36
Time Elapsed : 00:00:00

General
    Board Size, 96.012mmx90.17mm
    Components on board, 143
count : 2

Layer, Arcs, Pads, Vias, Tracks, Texts, Fills, Regions, ComponentBodies
    Top Layer, 0, 726, 0, 742, 0, 0, 1, 0
    Layer 1, 0, 0, 0, 302, 0, 0, 0, 0
    Layer 2, 0, 0, 0, 5, 0, 0, 0, 0
    Layer 3, 0, 0, 0, 0, 0, 1, 0, 0
    Layer 4, 0, 0, 0, 0, 0, 1, 0, 0
    Bottom Layer, 0, 148, 0, 23, 0, 0, 1, 0
    Mechanical 1, 0, 0, 0, 0, 1, 0, 0, 8
    Top 3D Body, 0, 0, 0, 52, 0, 0, 0, 6
    Top Courtyard, 0, 0, 0, 52, 0, 0, 0, 0
    Mechanical 4, 0, 0, 0, 0, 0, 0, 0, 0
    Top Assembly, 0, 0, 0, 52, 13, 0, 0, 0
    Bottom Designator, 0, 0, 0, 0, 1, 0, 0, 0
    Mechanical 13, 3, 0, 0, 239, 0, 0, 0, 109
    Mechanical 14, 0, 0, 0, 0, 0, 0, 0, 0
    Mechanical 15, 0, 0, 0, 318, 0, 0, 0, 0
    Top Component Center, 0, 0, 0, 26, 0, 0, 0, 0
    Top Designator, 0, 0, 0, 0, 4, 0, 0, 0
    Bottom Assembly, 0, 0, 0, 260, 0, 0, 0, 0
    Bottom Courtyard, 0, 0, 0, 262, 0, 0, 0, 0
    Bottom 3D Body, 0, 0, 0, 256, 0, 0, 0, 65
    Bottom Component Center, 0, 0, 0, 128, 0, 0, 0, 0
    Multi-Layer, 0, 188, 313, 0, 0, 0, 1, 0
    Top Paste, 0, 0, 0, 0, 0, 0, 0, 0
    Top Overlay, 21, 0, 0, 147, 151, 0, 1, 0
    Top Solder, 0, 0, 0, 0, 0, 0, 1, 0
    Bottom Solder, 0, 0, 0, 0, 0, 0, 1, 0
    Bottom Overlay, 0, 0, 0, 138, 148, 0, 0, 0
    Bottom Paste, 0, 0, 0, 0, 0, 0, 0, 0
    Drill Guide, 0, 0, 0, 0, 0, 0, 0, 0
    Keep-Out Layer, 0, 0, 0, 0, 0, 0, 0, 0
    Drill Drawing, 0, 0, 0, 0, 0, 0, 0, 0
count : 31
