Change Component Designator: OldDesignator= NewDesignator=C10
Added Pin To Net: NetName=+3.3V Pin=C3-1
Added Pin To Net: NetName=+3.3V Pin=C4-2
Added Pin To Net: NetName=+3.3V Pin=C5-2
Added Pin To Net: NetName=+3.3V Pin=C9-2
Added Pin To Net: NetName=+3.3V Pin=C60-1
Added Pin To Net: NetName=+3.3V Pin=C61-2
Added Pin To Net: NetName=+3.3V Pin=C100-2
Added Pin To Net: NetName=+3.3V Pin=D1-1
Added Pin To Net: NetName=+3.3V Pin=J2-27
Added Pin To Net: NetName=+3.3V Pin=J2-28
Added Pin To Net: NetName=+3.3V Pin=LED2-2
Added Pin To Net: NetName=+3.3V Pin=R6-2
Added Pin To Net: NetName=+3.3V Pin=R14-1
Added Pin To Net: NetName=+3.3V Pin=R15-1
Added Pin To Net: NetName=+3.3V Pin=T1-1
Added Pin To Net: NetName=+3.3V Pin=U1-H21
Added Pin To Net: NetName=+3.3V Pin=U1-P22
Added Pin To Net: NetName=+3.3V Pin=U1-T17
Added Pin To Net: NetName=+3.3V Pin=U1-U17
Added Pin To Net: NetName=+3.3V Pin=U2-2
Added Pin To Net: NetName=+3.3V Pin=X2-1
Added Pin To Net: NetName=+3.3V Pin=X2-4
