Removed Pin From Net: NetName=GND Pin=C10-1
Removed Pin From Net: NetName=+3.3V Pin=C10-2
Removed Pin From Net: NetName=NetFLASH1_1 Pin=FLASH1-1
Removed Pin From Net: NetName=NetFLASH1_2 Pin=FLASH1-2
Removed Pin From Net: NetName=NetFLASH1_3 Pin=FLASH1-3
Removed Pin From Net: NetName=GND Pin=FLASH1-4
Removed Pin From Net: NetName=NetFLASH1_5 Pin=FLASH1-5
Removed Pin From Net: NetName=NetFLASH1_6 Pin=FLASH1-6
Removed Pin From Net: NetName=NetFLASH1_7 Pin=FLASH1-7
Removed Pin From Net: NetName=+3.3V Pin=FLASH1-8
Change component parameters: Designator = "C8" ("C8"); Footprint = "CAPC2013X145X20ML20"; UniqueID = "\SKTVEVTF" ("\SKTVEVTF")
Change component parameters (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://download.siliconexpert.com/pdfs/2015/4/21/15/54/45/779/tdk_/manual/37024850441143360mlcc_commercial_general_en.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Mar-15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.tdk.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount,MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "CSeries,GeneralPurpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55degC~125degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "445-6857-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCN Part Number"; Value = "MLCCPartNumberChange30/Nov/2012"; VariantName = "[No Variations]"
