Altium Designer Pick and Place Locations
C:\Users\eliow\OneDrive\Dokumente\GitHub\CHESS_OBC\CHESSOBC_rev1\Project Outputs for CHESSOBC_rev1\Pick Place for CHESSOBC_rev1.csv

========================================================================================================================
File Design Information:

Date:       20/08/21
Time:       15:54
Revision:   8d5deac85daf62e4fd9dfe5419b59021d98c6e71
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Footprint","Description"
"TempSensor","88.2947","84.1496","90","TopLayer","TMP144YFFT","TMP144YFFT","Integrated Circuit"
"R25","87.2106","87.0925","0","TopLayer","PTN0805Y1002BST1","RESC2013X84N","Resistor"
"R24","86.7761","81.0203","0","TopLayer","PTN0805Y1002BST1","RESC2013X84N","Resistor"
"FLASH","55.6575","47.7906","270","TopLayer","TC58CVG0S3HRAIJ","SON127P800X600X80-9N-D","Capacitor Polarised"
"C10","57.5625","41.1834","90","TopLayer","100nF","CAPC1005X60X30ML05T10",""
"U2","54.4107","32.2548","0","TopLayer","LT6105IMS8#PBF","LT-MS8-8_N","Single Channel, Precision, Rail-to-Rail Input Current Sense Amplifier, 0.1 MHz Typical GBW, 2.85 to 36 V, 8-Pin SOP (MS8-8), Industrial, Pb-Free"
"T7","64.0079","45.2068","90","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"R17","60.1487","29.9560","90","TopLayer","CRCW06030000Z0EA","RESC1609X50X30NL8T20","Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R16","79.0903","91.9838","270","TopLayer","CRCW06030000Z0EA","RESC1609X50X30NL8T20","Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R15","60.1487","32.8603","90","TopLayer","CRCW06030000Z0EA","RESC1609X50X30NL8T20","Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R14","77.2809","91.9839","90","TopLayer","CRCW06030000Z0EA","RESC1609X50X30NL8T20","Chip Resistor, 0 Ohm, Jumper, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R21","42.2910","42.4874","0","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"R20","47.0914","37.2789","180","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"GPIO","101.4730","64.2620","270","TopLayer","Header 20X2","HDR2X20","Header, 20-Pin, Dual row"
"R18","47.0136","39.8831","180","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"R19","42.3688","37.2789","0","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"R_LED5_80Ohm","34.3128","47.9168","270","TopLayer","RCS060382R0FKEA","RESC1608X50N","Resistor"
"R_LED4_80Ohm","37.0092","48.0041","270","TopLayer","RCS060382R0FKEA","RESC1608X50N","Resistor"
"R_LED3_80Ohm","39.4605","47.9981","270","TopLayer","RCS060382R0FKEA","RESC1608X50N","Resistor"
"R101","94.0750","71.1250","270","TopLayer","RN73H2ATTD75R0B25","RESC2012X60N","Resistor"
"R100","94.1500","60.7389","90","TopLayer","RC1206JR-07180RL","RESC3116X65N","Resistor"
"LED_FPGA_3","34.3128","51.3837","90","TopLayer","SMLD12BN1WT86","LEDM168X65N","LED"
"LED_FPGA_2","37.0091","51.3834","90","TopLayer","SMLD12BN1WT86","LEDM168X65N","LED"
"LED_FPGA_1","39.4605","51.5119","90","TopLayer","SMLD12BN1WT86","LEDM168X65N","LED"
"LED2","91.2750","70.7310","270","TopLayer","RPG1102W-660-TR","LEDC3015X190N","LED"
"5V LED","91.1250","60.9108","90","TopLayer","RPG1102W-660-TR","LEDC3015X190N","LED"
"T6 (GND)","88.1160","98.3305","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"T5 (GND)","103.3475","31.0203","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"T4 (GND)","29.7549","89.1549","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"T3 (1.5V)","71.1229","93.5239","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"T2 (5V)","88.0201","65.0549","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"T1 (3.3V)","92.5000","74.8750","0","TopLayer","5015","FP-5015-MFG","PC TEST POINT MINIATURE"
"1.5V Supply","75.9059","97.3409","0","TopLayer","LM3671MF-3.3/NOPB","DBV0005A_N","2MHz, 600mA Step-Down DC-DC Converter, 5-pin SOT-23, Pb-Free"
"L3","78.2141","101.6565","0","TopLayer","LQM21PN2R2NGCD","FP-LQM21PH_G0-IPC_C","Multilayer Type Inductor for Power Lines, 0805 (2012), 2.2µH, 30%, 0.288O, 0.8A"
"COM-Header","35.1790","72.5170","270","TopLayer","Header 10X2","HDR2X10","Header, 10-Pin, Dual row"
"C101","80.2398","97.2731","90","TopLayer","C0805C106K8PACTU","FP-C0805C-DG-MFG","CAP CER 10UF 10V X5R 0805"
"C100","86.7276","92.8987","0","TopLayer","CAP 4.7uF 25V 1210(3225)","CAPC1210(3225)220_M","CAP 4.7uF 25V ±10% 1210 (3225 Metric) Thickness 2.2mm SMD"
"R9","76.5810","75.4380","90","BottomLayer","10k","RESC1005X40X25LL05T10",""
"R8","74.2840","59.4127","180","TopLayer","4k7","RESC1005X40X25LL05T10",""
"R7","78.2619","59.4127","0","TopLayer","10k","RESC1005X40X25LL05T10",""
"R6","74.2840","60.5991","0","TopLayer","NC","RESC1005X40X25LL05T10",""
"R23","42.2910","39.8831","0","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"R22","47.0136","42.4874","180","TopLayer","CHP1206AFX-4701ELF","RESC3116X65N","Resistor"
"C15","40.5690","84.4657","180","TopLayer","100nF","CAPC1005X60X30ML05T10",""
"C14","40.5691","85.9700","180","TopLayer","100nF","CAPC1005X60X30ML05T10",""
"C13","40.5690","82.9614","180","TopLayer","100nF","CAPC1005X60X30ML05T10",""
"C12","40.5690","87.4742","180","TopLayer","100nF","CAPC1005X60X30ML05T10",""
